energy,intensity,residual,fit,pseudovoigt_1,gaussian_2,gaussian_3,gaussian_4,gaussian_5,gaussian_6
-1.6,0.0400858489876045,-0.03601431747720463,0.0040715315103998714,0.004071531510399872,3.2154705792540106e-152,8.095051793329304e-116,4.595903175232958e-146,4.059105186126166e-272,2.3933081425163304e-233
-1.5833333333333337,0.0475041440952422,-0.04334771079884584,0.00415643329639636,0.0041564332963963625,1.0017235773797528e-150,7.664266242962192e-115,5.745602379821799e-145,1.2879212002805745e-270,6.857188365931093e-232
-1.5666666666666669,0.0351039991525463,-0.030859984089902443,0.004244015062643856,0.0042440150626438565,3.0677376887468113e-149,7.186882788318741e-114,7.114088976020051e-144,4.0473177947251324e-269,1.944035091608115e-230
-1.5500000000000005,0.0563217208307631,-0.051987330186399866,0.004334390644363237,0.004334390644363235,9.235395924961255e-148,6.674666465634675e-113,8.72412833130853e-143,1.259691934385747e-267,5.453466877083534e-229
-1.5333333333333337,0.0123286079864157,-0.007900928009364098,0.004427679977051601,0.004427679977051601,2.733126831660076e-146,6.1395650261289895e-112,1.0596045780637487e-141,3.883116485375356e-266,1.5137418519926612e-227
-1.516666666666667,0.053024724969143,-0.04850071547670507,0.004524009492437926,0.004524009492437926,7.951169716066575e-145,5.593255598321644e-111,1.2746314632196162e-140,1.185538102552586e-264,4.15758863314738e-226
-1.5000000000000004,0.075258573471119,-0.07063506092641411,0.004623512544704889,0.004623512544704888,2.2738888482073235e-143,5.0467379686701004e-110,1.5186037597682082e-139,3.584838888902827e-263,1.1299045918901316e-224
-1.4833333333333338,0.0262832763496441,-0.02155694647999821,0.004726329869645891,0.004726329869645893,6.392554077544986e-142,4.509993069850996e-109,1.7919394674632994e-138,1.073600724157685e-261,3.0384534689817263e-223
-1.4666666666666672,0.0115852148960622,-0.006752604816368647,0.004832610079693553,0.004832610079693553,1.7666339005000795e-140,3.991719545448212e-108,2.0942148116546647e-137,3.184453980422751e-260,8.084887207520691e-222
-1.4500000000000006,0.0915722853744314,-0.08662977517637807,0.004942510198053335,0.00494251019805333,4.799385995689352e-139,3.49915511134495e-107,2.424030872386985e-136,9.355051579582005e-259,2.1286580432274923e-220
-1.433333333333334,0.0446540782140155,-0.03959788197850847,0.0050561962355070295,0.005056196235507026,1.281715895668888e-137,3.0379833973873904e-106,2.778907522071739e-135,2.7219266855062404e-257,5.54559812207131e-219
-1.4166666666666674,0.0682723930643514,-0.0630985492505313,0.005173843813820106,0.0051738438138201025,3.3648432024320125e-136,2.612321505178083e-105,3.1552158130480957e-134,7.843785130807255e-256,1.4295569030876148e-217
